cluster_id,headline,published_at,urls,sources,tickers,topics
5320e1c4c5c9745f2a0fae4976e481ac,Menos alunos saem do ensino médio com aprendizado adequado em português e matemática,2025-09-25T03:06:41.599696+00:00,https://www1.folha.uol.com.br/educacao/2025/09/menos-alunos-saem-do-ensino-medio-com-aprendizado-adequado-em-portugues-e-matematica.shtml,www1.folha.uol.com.br,,
6ca16f6f114737146603cdacb25a04be,Editor de Política mostra em livro como Folha atuou nos anos Bolsonaro,2025-09-25T03:06:41.599733+00:00,https://www1.folha.uol.com.br/poder/2025/09/editor-de-politica-mostra-em-livro-como-folha-atuou-nos-anos-bolsonaro.shtml,www1.folha.uol.com.br,,
a29e4035e883cb898a739d9d64fe20c3,Quase 20% dos professores do ensino infantil não têm ensino superior completo,2025-09-25T03:06:41.599768+00:00,https://www1.folha.uol.com.br/educacao/2025/09/quase-20-dos-professores-do-ensino-infantil-nao-tem-ensino-superior-completo.shtml,www1.folha.uol.com.br,,
915832511e7b422bc1c00c9d3d225ccc,"Bolsonaro foi alertado de 'desvios, fraudes e irregularidades' no INSS durante transição, dizem peritos",2025-09-25T03:06:41.599806+00:00,https://www1.folha.uol.com.br/mercado/2025/09/bolsonaro-foi-alertado-de-desvios-fraudes-e-irregularidades-no-inss-durante-transicao-dizem-peritos.shtml,www1.folha.uol.com.br,,
7e4fa4b01f3caf1a4191f2a73b2cbf9d,"ONU vira palco de comédia, e um talk show vira palco de discurso político",2025-09-25T03:06:41.599843+00:00,https://www1.folha.uol.com.br/colunas/lucia-guimaraes/2025/09/onu-vira-palco-de-comedia-e-um-talk-show-vira-palco-de-discurso-politico.shtml,www1.folha.uol.com.br,,
688b3e39399839f87ea457bbc8d7486d,"'Jimmy Kimmel Live!' return draws 6.26 million viewers, ABC parent Disney says",2025-09-24T23:10:50+00:00,https://www.cnbc.com/2025/09/24/jimmy-kimmel-return-ratings-abc-disney.html,cnbc.com,,
43818eb0c6d7ba1069726312cbc55d7a,"U.S. expands tariff dragnet to masks, syringes and robotics in sweeping import probe",2025-09-25T03:04:43+00:00,https://www.cnbc.com/2025/09/25/trump-tariff-threat-looms-over-robotics-and-medical-devices-section232-import-investigation.html,cnbc.com,,
a461a2fa41793580d91a245635b6bde7,"Nvidia's investment in OpenAI will be in cash, and most will be used to lease Nvidia chips",2025-09-25T02:34:51+00:00,https://www.cnbc.com/2025/09/24/nvidia-openai-investment-in-cash-mostly-used-to-lease-nvidia-chips.html,cnbc.com,,
80dc5f799cb18138249aa1af3ca00137,China's largest vehicle exporter Chery surges 11% in Hong Kong debut,2025-09-25T01:49:38+00:00,https://www.cnbc.com/2025/09/25/chinachinas-largest-vehicle-exporter-chery-surges-11percent-in-hong-kong-debut.html,cnbc.com,,
e55863d6c88fb054415c223ed73866d6,Asia-Pacific markets trade mixed as investors sell tech names on Wall Street,2025-09-25T02:34:32+00:00,https://www.cnbc.com/2025/09/25/asia-markets.html,cnbc.com,,
