cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,total,decision
7adf304068f74f002eff92a6e343a119,0.8435,0.88,0.0,0.0,1.0,0.75,0.75,77.46,POST
8124e8d21c7a0f214c3400c4675c300b,0.7254,0.9,0.0,0.0,1.0,0.75,0.8824,77.44,POST
403adb586b690800563c406988773596,0.7352,0.86,0.0,0.0,1.0,0.75,0.9167,77.43,POST
82a2e50b4ec204b02018028ef96d2c56,0.6834,0.96,0.0,0.0,1.0,0.75,0.8636,77.4,POST
e480e93276ec9c6654aacec9729516ad,0.7298,0.6,0.0,0.0,1.0,1.0,0.8667,77.4,POST
6d315dc66e1c65d9d0359827199f1293,0.7482,0.6,0.0,0.0,1.0,1.0,0.8421,77.4,POST
122f19b3c17ee0986144cf498122c132,0.8212,0.6,0.0,0.0,0.872,1.0,0.8889,77.38,POST
47a9db03002319af55cde5d4e58915af,0.7584,0.9,0.0,0.0,1.0,0.75,0.8333,77.37,POST
70f7c1fba34ed9e699b92effac6d399d,0.76,0.6,0.0,0.0,0.9392,1.0,0.8929,77.36,POST
44b836e59cf9e04992700594524a5d3a,0.7204,0.6,0.0,0.0,1.0,1.0,0.875,77.33,POST
6ad6590974c52563039a12f94cc312ee,0.8377,0.6,0.0,0.0,0.872,1.0,0.8636,77.33,POST
944fb7be0d45d8b05c6ce2db001a443f,0.7587,0.6,0.0,0.0,1.0,1.0,0.8235,77.33,POST
2162d9ddee57ba678b8c7c4d7f35d19f,0.7141,0.88,0.0,0.0,1.0,0.75,0.9091,77.26,POST
b8e6dbe34100960cb1cc881575638796,0.7062,0.6,0.0,0.0,1.0,1.0,0.8889,77.26,POST
f0192c08aeeffd8889de63df9425bce1,0.5204,0.88,0.0,0.0,1.0,1.0,0.8,77.25,POST
955bea1a6a7334fcd7741181edbb7a78,0.7352,0.88,0.0,0.0,0.9742,0.75,0.9091,77.24,POST
f0b586506f70e057a5daacce5d493e7d,0.7605,0.88,0.0,0.0,1.0,0.75,0.8462,77.24,POST
cf874590d621a43e314d0a59f5bd6f6f,0.7345,0.6,0.0,0.0,1.0,1.0,0.85,77.24,POST
ed04741a4f4e8799914740609def9d07,0.6949,0.6,0.0,0.0,1.0,1.0,0.9,77.2,POST
d339c055a3250ee214768ac9de478d0c,0.7605,0.6,0.0,0.0,1.0,1.0,0.8125,77.2,POST
febd9b8f38783e0b1c32ccda8c4df4a6,0.8473,0.9,0.0,0.0,1.0,0.65,0.85,77.2,POST
d54ac17ce10a93e495ec907cf5633658,0.703,0.96,0.0,0.0,1.0,0.75,0.8235,77.19,POST
23f8677e9218fa8f37f475b12d0bf3fc,0.6837,0.98,0.0,0.0,1.0,0.75,0.8235,77.17,POST
e6c1df9fa94856afd8bfec256b9d0419,0.8407,0.6,0.0,0.0,1.0,0.9,0.85,77.16,POST
4e0befa6f594253e4b2fe4191eddf8d4,0.7757,0.6,0.0,0.0,1.0,1.0,0.7895,77.16,POST
370fd7c2a856bfa5702606dcbf514707,0.7519,0.6,0.0,0.0,0.9484,1.0,0.8788,77.14,POST
024a7bfbbdcefa13c7ab1a7a85e6f0b7,0.8102,0.88,0.0,0.0,1.0,0.75,0.7727,77.14,POST
d3ffd027d3f24e00b6b3702bff25376b,0.719,0.6,0.0,0.0,1.0,1.0,0.8636,77.13,POST
